"","country","year","sex","sui_rate_1e5","population","gdp_per_capita"
"1","Albania",1987,"female",1.89839775229706,1316900,796
"2","Albania",1987,"male",3.44654268686724,1392700,796
"3","Albania",1988,"female",1.63739208097648,1343600,769
"4","Albania",1988,"male",2.88590131625255,1420700,769
"5","Albania",1989,"female",1.10027140027874,1363300,833
"6","Albania",1989,"male",3.68106681483539,1439800,833
"7","Albania",1992,"female",0.983698707138842,1423200,251
"8","Albania",1992,"male",2.35832201815193,1399300,251
"9","Albania",1993,"female",1.89155107187894,1427400,437
"10","Albania",1993,"male",3.33357489673165,1379900,437
"11","Albania",1994,"female",1.03799045048786,1445100,697
"12","Albania",1994,"male",2.49252243270189,1404200,697
"13","Albania",1995,"female",2.30696159587461,1473800,835
"14","Albania",1995,"male",3.77728035814214,1429600,835
"15","Albania",1996,"female",2.60695187165775,1496000,1127
"16","Albania",1996,"male",3.46212435950699,1444200,1127
"17","Albania",1997,"female",3.40113807312447,1528900,793
"18","Albania",1997,"male",8.14692074012704,1448400,793
"19","Albania",1998,"female",3.77284850061797,1537300,899
"20","Albania",1998,"male",6.50671004473363,1475400,899
"21","Albania",1999,"female",3.11021836324759,1543300,1127
"22","Albania",1999,"male",6.1221743810549,1486400,1127
"23","Albania",2000,"female",1.16584086272224,1372400,1299
"24","Albania",2000,"male",2.66872673642812,1423900,1299
"25","Albania",2001,"female",2.48450732219801,1408730,1451
"26","Albania",2001,"male",6.04047550047856,1390619,1451
"27","Albania",2002,"female",2.96037954885225,1418737,1573
"28","Albania",2002,"male",6.49952646307198,1400102,1573
"29","Albania",2003,"female",3.56226347618243,1431674,2021
"30","Albania",2003,"male",5.1690381694524,1412255,2021
"31","Albania",2004,"female",3.93752732954824,1447609,2544
"32","Albania",2004,"male",6.23519142037661,1427382,2544
"33","Albania",2005,"female",0,1399928,2931
"34","Albania",2005,"male",0,1383392,2931
"35","Albania",2006,"female",0,1397509,3235
"36","Albania",2006,"male",0,1382667,3235
"37","Albania",2007,"female",3.37679580874978,1391852,3863
"38","Albania",2007,"male",5.58581406348386,1378492,3863
"39","Albania",2008,"female",4.40537224312166,1384673,4672
"40","Albania",2008,"male",7.21371392596544,1372386,4672
"41","Albania",2009,"female",0,1378059,4387
"42","Albania",2009,"male",0,1367676,4387
"43","Albania",2010,"female",2.55171227184047,1371628,4359
"44","Albania",2010,"male",4.47083949906076,1364397,4359
"45","Antigua and Barbuda",1985,"female",0,32292,3850
"46","Antigua and Barbuda",1985,"male",0,30282,3850
"47","Antigua and Barbuda",1986,"female",0,31663,4740
"48","Antigua and Barbuda",1986,"male",0,29607,4740
"49","Antigua and Barbuda",1987,"female",0,31185,5595
"50","Antigua and Barbuda",1987,"male",0,29076,5595
"51","Antigua and Barbuda",1988,"female",0,30851,6693
"52","Antigua and Barbuda",1988,"male",0,28713,6693
"53","Antigua and Barbuda",1989,"female",0,30692,7407
"54","Antigua and Barbuda",1989,"male",0,28546,7407
"55","Antigua and Barbuda",1990,"female",0,30729,7744
"56","Antigua and Barbuda",1990,"male",3.49589232651634,28605,7744
"57","Antigua and Barbuda",1991,"female",0,31236,7976
"58","Antigua and Barbuda",1991,"male",0,29158,7976
"59","Antigua and Barbuda",1992,"female",0,31851,8087
"60","Antigua and Barbuda",1992,"male",0,29890,8087
"61","Antigua and Barbuda",1993,"female",0,32590,8453
"62","Antigua and Barbuda",1993,"male",3.2546786004882,30725,8453
"63","Antigua and Barbuda",1994,"female",0,33465,9062
"64","Antigua and Barbuda",1994,"male",0,31579,9062
"65","Antigua and Barbuda",1995,"female",0,34464,8636
"66","Antigua and Barbuda",1995,"male",0,32382,8636
"67","Antigua and Barbuda",1998,"female",0,38056,10078
"68","Antigua and Barbuda",1998,"male",0,34169,10078
"69","Antigua and Barbuda",1999,"female",0,39159,10378
"70","Antigua and Barbuda",1999,"male",0,34673,10378
"71","Antigua and Barbuda",2000,"female",0,40089,11021
"72","Antigua and Barbuda",2000,"male",5.67585208729461,35237,11021
"73","Antigua and Barbuda",2001,"female",0,40681,10468
"74","Antigua and Barbuda",2001,"male",5.5840964931874,35816,10468
"75","Antigua and Barbuda",2002,"female",0,41116,10499
"76","Antigua and Barbuda",2002,"male",0,36472,10499
"77","Antigua and Barbuda",2003,"female",0,41474,10878
"78","Antigua and Barbuda",2003,"male",2.68932874354561,37184,10878
"79","Antigua and Barbuda",2004,"female",0,41837,11535
"80","Antigua and Barbuda",2004,"male",5.27913422198759,37885,11535
"81","Antigua and Barbuda",2005,"female",0,42258,12649
"82","Antigua and Barbuda",2005,"male",0,38551,12649
"83","Antigua and Barbuda",2006,"female",0,42774,14114
"84","Antigua and Barbuda",2006,"male",0,39199,14114
"85","Antigua and Barbuda",2007,"female",0,43358,15775
"86","Antigua and Barbuda",2007,"male",2.51426847358761,39773,15775
"87","Antigua and Barbuda",2008,"female",0,43987,16238
"88","Antigua and Barbuda",2008,"male",0,40286,16238
"89","Antigua and Barbuda",2009,"female",0,44623,14335
"90","Antigua and Barbuda",2009,"male",0,40782,14335
"91","Antigua and Barbuda",2012,"female",0,46381,13657
"92","Antigua and Barbuda",2012,"male",0,42322,13657
"93","Antigua and Barbuda",2013,"female",0,46919,13287
"94","Antigua and Barbuda",2013,"male",0,42860,13287
"95","Antigua and Barbuda",2014,"female",0,47455,14093
"96","Antigua and Barbuda",2014,"male",0,43382,14093
"97","Antigua and Barbuda",2015,"female",2.08376745155241,47990,14853
"98","Antigua and Barbuda",2015,"male",0,43899,14853
"99","Argentina",1985,"female",3.92961748314574,13690900,3264
"100","Argentina",1985,"male",10.8209762759424,13399900,3264
"101","Argentina",1986,"female",4.65548671987915,13768700,4072
"102","Argentina",1986,"male",12.1923165401426,13475700,4072
"103","Argentina",1987,"female",4.91830311373038,13947900,4026
"104","Argentina",1987,"male",11.7203237739443,13651500,4026
"105","Argentina",1988,"female",4.64255794470818,14324000,4458
"106","Argentina",1988,"male",12.0780892448513,13984000,4458
"107","Argentina",1989,"female",4.17096840801156,14529000,2670
"108","Argentina",1989,"male",11.5783532068017,14173000,2670
"109","Argentina",1990,"female",4.03882704317133,14732000,4859
"110","Argentina",1990,"male",10.7597272809577,14359100,4859
"111","Argentina",1991,"female",3.29742945879865,15133000,6404
"112","Argentina",1991,"male",10.0207039337474,14490000,6404
"113","Argentina",1992,"female",3.28097231354117,15361300,7615
"114","Argentina",1992,"male",11.4409463297036,14684100,7615
"115","Argentina",1993,"female",3.16350102669405,15584000,7768
"116","Argentina",1993,"male",11.6628059220465,14893500,7768
"117","Argentina",1994,"female",3.22645949844371,15806800,8328
"118","Argentina",1994,"male",11.4602367522047,15104400,8328
"119","Argentina",1995,"female",3.14420287594747,16029500,8232
"120","Argentina",1995,"male",11.0995762573535,15315900,8232
"121","Argentina",1996,"female",3.27328214215397,16252800,8563
"122","Argentina",1996,"male",10.9287154090379,15527900,8563
"123","Argentina",1997,"female",3.253114978301,16568735,9057
"124","Argentina",1997,"male",10.434476372603,15765046,9057
"125","Argentina",1998,"female",3.13296717722516,16789196,9126
"126","Argentina",1998,"male",11.4040131229442,15968063,9126
"127","Argentina",1999,"female",2.89892603316724,17006298,8546
"128","Argentina",1999,"male",11.9367434238439,16168564,8546
"129","Argentina",2000,"female",3.19408200486139,17219345,8462
"130","Argentina",2000,"male",13.588992134271,16366188,8462
"131","Argentina",2001,"female",3.87652510583315,17438298,7900
"132","Argentina",2001,"male",14.8195991370842,16572648,7900
"133","Argentina",2002,"female",3.9846958206209,17642501,2840
"134","Argentina",2002,"male",14.6674567250379,16765006,2840
"135","Argentina",2003,"female",3.83464194227081,17837389,3668
"136","Argentina",2003,"male",15.3700754248838,16948518,3668
"137","Argentina",2004,"female",3.62700642362803,18031399,4683
"138","Argentina",2004,"male",14.4003349143154,17131546,4683
"139","Argentina",2005,"female",3.64222810232401,18230599,5590
"140","Argentina",2005,"male",13.822156535865,17320018,5590
"141","Argentina",2006,"female",3.32235833154639,18420650,6475
"142","Argentina",2006,"male",14.2642949837915,17498236,6475
"143","Argentina",2007,"female",3.22160537428209,18624255,7918
"144","Argentina",2007,"male",13.2608025091745,17691237,7918
"145","Argentina",2008,"female",3.24343859273623,18838032,9843
"146","Argentina",2008,"male",13.6794257859858,17895488,9843
"147","Argentina",2009,"female",3.06485983383107,19054705,8961
"148","Argentina",2009,"male",12.7048687708581,18103296,8961
"149","Argentina",2010,"female",2.93732485681579,19269234,11273
"150","Argentina",2010,"male",12.9825301132435,18309220,11273
"151","Argentina",2011,"female",2.99103633098449,19491572,13946
"152","Argentina",2011,"male",12.5727650803407,18524167,13946
"153","Argentina",2012,"female",3.18651224462997,19708068,14203
"154","Argentina",2012,"male",13.9854839217646,18733710,14203
"155","Argentina",2013,"female",2.95682137184463,19920040,14206
"156","Argentina",2013,"male",12.6616465367783,18939085,14206
"157","Argentina",2014,"female",3.412510531842,20131806,13400
"158","Argentina",2014,"male",13.2882389839637,19144749,13400
"159","Argentina",2015,"female",2.96862366300735,20346129,14981
"160","Argentina",2015,"male",12.7573856815009,19353495,14981
"161","Armenia",1990,"female",1.89902429441425,1527100,756
"162","Armenia",1990,"male",4.39379376630509,1456600,756
"163","Armenia",1991,"female",1.55214614052892,1675100,640
"164","Armenia",1991,"male",3.47110625441923,1555700,640
"165","Armenia",1992,"female",1.1067101584343,1716800,385
"166","Armenia",1992,"male",4.02035303725108,1591900,385
"167","Armenia",1993,"female",2.00320512820513,1747200,357
"168","Armenia",1993,"male",4.38433987896752,1619400,357
"169","Armenia",1994,"female",2.03896692342546,1765600,387
"170","Armenia",1994,"male",4.64292259759301,1636900,387
"171","Armenia",1995,"female",1.95924764890282,1786400,426
"172","Armenia",1995,"male",5.73394495412844,1656800,426
"173","Armenia",1996,"female",1.32758048456688,1807800,458
"174","Armenia",1996,"male",3.75335120643432,1678500,458
"175","Armenia",1997,"female",0.82092819614711,1827200,465
"176","Armenia",1997,"male",3.64813180347161,1699500,465
"177","Armenia",1998,"female",0.977676389115203,1841100,532
"178","Armenia",1998,"male",2.7957365018347,1716900,532
"179","Armenia",1999,"female",0.972657516481141,1850600,515
"180","Armenia",1999,"male",2.83220623085371,1730100,515
"181","Armenia",2000,"female",0.751072961373391,1864000,530
"182","Armenia",2000,"male",2.69727403156385,1742500,530
"183","Armenia",2001,"female",0.643280559311004,1865438,587
"184","Armenia",2001,"male",2.7505933832184,1745078,587
"185","Armenia",2002,"female",0.761022459041137,1576826,788
"186","Armenia",2002,"male",4.31148984226901,1438018,788
"187","Armenia",2003,"female",0.56993191213423,1579136,928
"188","Armenia",2003,"male",3.45965694041779,1445230,928
"189","Armenia",2006,"female",1.1502411108352,1477951,2310
"190","Armenia",2006,"male",4.74174955011679,1286445,2310
"191","Armenia",2007,"female",1.36596253574553,1464169,3366
"192","Armenia",2007,"male",4.01213395177887,1271144,3366
"193","Armenia",2008,"female",1.20177255126192,1580998,3829
"194","Armenia",2008,"male",3.00465790262587,1464393,3829
"195","Armenia",2009,"female",0.692730897599133,1443562,3215
"196","Armenia",2009,"male",3.45067500820538,1246133,3215
"197","Armenia",2010,"female",1.32197547665913,1437243,3460
"198","Armenia",2010,"male",4.35841682930018,1238982,3460
"199","Armenia",2011,"female",1.11568075353078,1434102,3798
"200","Armenia",2011,"male",4.12533245326241,1236264,3798
"201","Armenia",2012,"female",1.35546720921501,1475506,3773
"202","Armenia",2012,"male",4.40695133082461,1338794,3773
"203","Armenia",2013,"female",1.62646475010386,1475593,3957
"204","Armenia",2013,"male",3.22080248915601,1335071,3957
"205","Armenia",2014,"female",1.01768533576492,1473933,4142
"206","Armenia",2014,"male",3.23528172532308,1329096,4142
"207","Armenia",2015,"female",1.29024810112829,1472585,3775
"208","Armenia",2015,"male",4.15800415800416,1322750,3775
"209","Armenia",2016,"female",1.08380440117484,1291746,3788
"210","Armenia",2016,"male",4.78215480286244,1108287,3788
"211","Aruba",1995,"female",0,37329,17949
"212","Aruba",1995,"male",22.067747986318,36252,17949
"213","Aruba",1999,"female",0,42376,21027
"214","Aruba",1999,"male",22.7514030031852,39558,21027
"215","Aruba",2000,"female",9.17304958033298,43606,22333
"216","Aruba",2000,"male",14.8949903182563,40282,22333
"217","Aruba",2001,"female",0,44890,22317
"218","Aruba",2001,"male",9.71935366298141,41155,22317
"219","Aruba",2002,"female",0,46213,21987
"220","Aruba",2002,"male",21.3924080720686,42071,21987
"221","Aruba",2003,"female",0,47485,22345
"222","Aruba",2003,"male",4.65419342827888,42972,22345
"223","Aruba",2004,"female",2.05901126279161,48567,24133
"224","Aruba",2004,"male",15.9934198501188,43768,24133
"225","Aruba",2005,"female",10.1298648676027,49359,24870
"226","Aruba",2005,"male",11.2691293470666,44369,24870
"227","Aruba",2006,"female",4.01662884341172,49793,25622
"228","Aruba",2006,"male",15.6547020015655,44715,25622
"229","Aruba",2007,"female",2.00236278808995,49941,27672
"230","Aruba",2007,"male",15.5995810398235,44873,27672
"231","Aruba",2008,"female",2.00400801603206,49900,29447
"232","Aruba",2008,"male",6.67943180300129,44914,29447
"233","Aruba",2009,"female",0,49854,26361
"234","Aruba",2009,"male",8.90055851004651,44941,26361
"235","Aruba",2010,"female",2.00228260216647,49943,25974
"236","Aruba",2010,"male",13.3146927634645,45063,25974
"237","Aruba",2011,"female",3.9852545581349,50185,27066
"238","Aruba",2011,"male",15.4515153521842,45303,27066
"239","Australia",1985,"female",5.81093275725341,7313800,12374
"240","Australia",1985,"male",19.8104487701243,7248700,12374
"241","Australia",1986,"female",6.23258443603861,7428700,12288
"242","Australia",1986,"male",21.4195716085678,7381100,12288
"243","Australia",1987,"female",5.78884620479534,7549000,12564
"244","Australia",1987,"male",23.0343447815939,7497500,12564
"245","Australia",1988,"female",5.98779011493954,7682300,15393
"246","Australia",1988,"male",22.4383339012818,7629800,15393
"247","Australia",1989,"female",5.42192555082416,7820100,19223
"248","Australia",1989,"male",21.1857299529063,7750500,19223
"249","Australia",1990,"female",5.59130577138612,7940900,19665
"250","Australia",1990,"male",22.3490675175754,7866100,19665
"251","Australia",1991,"female",5.98824713321986,8049100,20320
"252","Australia",1991,"male",22.6798945121185,7963000,20320
"253","Australia",1992,"female",5.70650173035859,8148600,20050
"254","Australia",1992,"male",22.1728388930961,8054900,20050
"255","Australia",1993,"female",4.8334406081877,8234300,19030
"256","Australia",1993,"male",20.1580687586809,8135700,19030
"257","Australia",1994,"female",5.02047826661382,8325900,19469
"258","Australia",1994,"male",22.6789080075394,8223500,19469
"259","Australia",1995,"female",5.43710021321962,8442000,21902
"260","Australia",1995,"male",20.554280840431,8324300,21902
"261","Australia",1996,"female",5.36605851336849,8572400,23526
"262","Australia",1996,"male",23.2863894251839,8442700,23526
"263","Australia",1997,"female",6.41443244998038,8683543,25234
"264","Australia",1997,"male",24.4677846886483,8537757,25234
"265","Australia",1998,"female",5.96188060014293,8789173,22897
"266","Australia",1998,"male",24.4191842579203,8632557,22897
"267","Australia",1999,"female",5.49192361531647,8903984,22016
"268","Australia",1999,"male",22.8778269108708,8737718,22016
"269","Australia",2000,"female",5.59559948759821,9024949,23219
"270","Australia",2000,"male",21.3120324503379,8849461,23219
"271","Australia",2001,"female",5.70010253632723,9157730,20860
"272","Australia",2001,"male",21.5754707403295,8973153,20860
"273","Australia",2002,"female",5.45936275857932,9268481,21474
"274","Australia",2002,"male",19.9196249177478,9101577,21474
"275","Australia",2003,"female",5.01979033689294,9382862,25059
"276","Australia",2003,"male",18.2652520003161,9225167,25059
"277","Australia",2004,"female",4.64707905322808,9511351,32454
"278","Australia",2004,"male",17.8953677540885,9343200,32454
"279","Australia",2006,"female",5.12378185716556,9641316,39014
"280","Australia",2006,"male",17.1420785747254,9467930,39014
"281","Australia",2007,"female",5.32879038871213,9945972,43171
"282","Australia",2007,"male",17.3571771978794,9788458,43171
"283","Australia",2008,"female",5.01391558974406,10131802,52315
"284","Australia",2008,"male",18.3510853971213,9988510,52315
"285","Australia",2009,"female",5.34409484296784,10329158,45128
"286","Australia",2009,"male",17.4997272101347,10200159,45128
"287","Australia",2010,"female",5.27105620146911,10491256,54887
"288","Australia",2010,"male",18.0276896429426,10356291,54887
"289","Australia",2011,"female",5.51739725726377,10512203,66770
"290","Australia",2011,"male",17.4739749155883,10369707,66770
"291","Australia",2012,"female",6.08008444021271,10690641,72669
"292","Australia",2012,"male",18.2968426664927,10548268,72669
"293","Australia",2013,"female",6.10632659577442,10873968,72856
"294","Australia",2013,"male",18.1238260067953,10726212,72856
"295","Australia",2014,"female",6.41829349434891,11046550,66809
"296","Australia",2014,"male",20.0532357347926,10881037,66809
"297","Australia",2015,"female",6.56161418208542,11201512,60656
"298","Australia",2015,"male",20.7622367886001,11039273,60656
"299","Austria",1985,"female",16.6346059517767,3751216,9759
"300","Austria",1985,"male",43.6750256557283,3358899,9759
"301","Austria",1986,"female",16.7414745773511,3751163,13911
"302","Austria",1986,"male",44.8636069152306,3367986,13911
"303","Austria",1987,"female",16.6308330848037,3752067,17415
"304","Austria",1987,"male",42.7775634787958,3377939,17415
"305","Austria",1988,"female",14.0894812567285,3754574,18663
"306","Austria",1988,"male",38.9989368217224,3389836,18663
"307","Austria",1989,"female",15.5356533950581,3765532,18544
"308","Austria",1989,"male",38.4803175959678,3412134,18544
"309","Austria",1990,"female",14.2929872158344,3785073,23020
"310","Austria",1990,"male",37.2575646784359,3446280,23020
"311","Austria",1991,"female",12.3293338198611,3812047,23808
"312","Austria",1991,"male",37.2453788061465,3487681,23808
"313","Austria",1992,"female",12.4072286542995,3844533,26450
"314","Austria",1992,"male",36.3086918533435,3530835,26450
"315","Austria",1993,"female",11.8898565049405,3868844,25611
"316","Austria",1993,"male",34.8975026124035,3564725,25611
"317","Austria",1994,"female",12.6566877319319,3879372,27274
"318","Austria",1994,"male",35.8619996762652,3583180,27274
"319","Austria",1995,"female",11.7131800048037,3884513,32237
"320","Austria",1995,"male",37.1049044444327,3592517,32237
"321","Austria",1996,"female",11.3835394533434,3891584,31660
"322","Austria",1996,"male",37.0892490593045,3602122,31660
"323","Austria",1997,"female",10.6935031711237,3899564,28325
"324","Austria",1997,"male",32.5212252890583,3613025,28325
"325","Austria",1998,"female",9.77443570545071,3908154,28972
"326","Austria",1998,"male",32.4656965574501,3625365,28972
"327","Austria",1999,"female",10.9441483628549,3919903,28722
"328","Austria",1999,"male",30.9195745071129,3641706,28722
"329","Austria",2000,"female",10.986266658054,3932182,25922
"330","Austria",2000,"male",31.5856401187904,3659891,25922
"331","Austria",2001,"female",10.3299978580446,3949662,25848
"332","Austria",2001,"male",29.3359544823222,3684898,25848
"333","Austria",2002,"female",9.14594970483526,3968970,27772
"334","Austria",2002,"male",32.0392699138871,3714192,27772
"335","Austria",2003,"female",9.73629691489874,3985088,33889
"336","Austria",2003,"male",28.579494747715,3736945,33889
"337","Austria",2004,"female",8.63076418432419,4008915,38711
"338","Austria",2004,"male",28.5851670611738,3764190,38711
"339","Austria",2005,"female",8.67877115543456,4032829,40367
"340","Austria",2005,"male",27.6443143893795,3794632,40367
"341","Austria",2006,"female",7.33131495896809,4051115,42698
"342","Austria",2006,"male",26.190667008193,3818154,42698
"343","Austria",2007,"female",7.79948292134677,4064372,49218
"344","Austria",2007,"male",25.2550288293459,3832900,49218
"345","Austria",2008,"female",7.45500024523027,4077800,54294
"346","Austria",2008,"male",25.0295129927344,3847458,54294
"347","Austria",2009,"female",7.48588323881386,4087694,50356
"348","Austria",2009,"male",25.1865671641791,3859200,50356
"349","Austria",2010,"female",7.17469178719864,4097737,49181
"350","Austria",2010,"male",25.0601702438122,3870684,49181
"351","Austria",2011,"female",7.61619441394722,4109664,53923
"352","Austria",2011,"male",25.0934118341045,3885482,53923
"353","Austria",2012,"female",7.0061761018121,4124932,50979
"354","Austria",2012,"male",25.2665919847305,3906344,50979
"355","Austria",2013,"female",7.8154398355863,4145640,53229
"356","Austria",2013,"male",24.5807357698003,3933975,53229
"357","Austria",2014,"female",7.76582304421701,4172127,54278
"358","Austria",2014,"male",24.9430718476366,3969038,54278
"359","Austria",2015,"female",6.90180727393368,4201798,46484
"360","Austria",2015,"male",23.9198245315348,4017588,46484
"361","Austria",2016,"female",7.6926206124682,3834844,46976
"362","Austria",2016,"male",24.8233800073155,3649785,46976
"363","Azerbaijan",1990,"female",0.787624838536908,3174100,1439
"364","Azerbaijan",1990,"male",2.98387367150568,2982700,1439
"365","Azerbaijan",1991,"female",0.987349583461894,3241000,1398
"366","Azerbaijan",1991,"male",3.34470094438615,3049600,1398
"367","Azerbaijan",1992,"female",1.15956180769583,3277100,784
"368","Azerbaijan",1992,"male",3.42676106423561,3093300,784
"369","Azerbaijan",1993,"female",1.08853410740203,3307200,617
"370","Azerbaijan",1993,"male",2.64719015117688,3135400,617
"371","Azerbaijan",1994,"female",0.568657967197414,3341200,508
"372","Azerbaijan",1994,"male",0.880503144654088,3180000,508
"373","Azerbaijan",1995,"female",0.207192541068522,3378500,462
"374","Azerbaijan",1995,"male",1.30135712957799,3227400,462
"375","Azerbaijan",1996,"female",0.381881205569591,3404200,476
"376","Azerbaijan",1996,"male",1.71573884003799,3263900,476
"377","Azerbaijan",1997,"female",0.613425249751709,3423400,590
"378","Azerbaijan",1997,"male",2.61573088387372,3287800,590
"379","Azerbaijan",1998,"female",0.416666666666667,3600000,631
"380","Azerbaijan",1998,"male",1.19033793984438,3444400,631
"381","Azerbaijan",1999,"female",0.274793218103377,3639100,645
"382","Azerbaijan",1999,"male",1.26899893288726,3467300,645
"383","Azerbaijan",2000,"female",0.41965562010675,3812650,711
"384","Azerbaijan",2000,"male",1.27685560428579,3602600,711
"385","Azerbaijan",2001,"female",2.09784776359069,3861100,759
"386","Azerbaijan",2001,"male",6.45355355629085,3656900,759
"387","Azerbaijan",2002,"female",0.486917300940519,3902100,820
"388","Azerbaijan",2002,"male",1.97105518954531,3703600,820
"389","Azerbaijan",2003,"female",0.915145660684325,3933800,948
"390","Azerbaijan",2003,"male",2.48623215526921,3740600,948
"391","Azerbaijan",2004,"female",0.757040476430807,3962800,1122
"392","Azerbaijan",2004,"male",2.06597888993365,3775450,1122
"393","Azerbaijan",2007,"female",0.346093469957851,4045150,4172
"394","Azerbaijan",2007,"male",1.0578051832454,3875950,4172
"395","Bahamas",1985,"female",0,103700,11393
"396","Bahamas",1985,"male",1,100000,11393
"397","Bahamas",1987,"female",0,111800,12286
"398","Bahamas",1987,"male",2.74977085242896,109100,12286
"399","Bahamas",1993,"female",0.80450522928399,124300,12698
"400","Bahamas",1993,"male",5.03355704697987,119200,12698
"401","Bahamas",1994,"female",0,127400,13073
"402","Bahamas",1994,"male",2.46103363412633,121900,13073
"403","Bahamas",1995,"female",0,129900,13473
"404","Bahamas",1995,"male",1.60513643659711,124600,13473
"405","Bahamas",1996,"female",0,128566,14297
"406","Bahamas",1996,"male",2.42185481787652,123872,14297
"407","Bahamas",1997,"female",0,130783,24740
"408","Bahamas",1997,"male",1.59778866049388,125173,24740
"409","Bahamas",1998,"female",0,133352,26269
"410","Bahamas",1998,"male",2.36643449314917,126773,26269
"411","Bahamas",1999,"female",0.734656694926461,136118,29019
"412","Bahamas",1999,"male",3.88581909180636,128673,29019
"413","Bahamas",2000,"female",1.43973969506313,138914,29942
"414","Bahamas",2000,"male",6.87947165657677,130824,29942
"415","Bahamas",2001,"female",0,142276,30122
"416","Bahamas",2001,"male",0.747026833203849,133864,30122
"417","Bahamas",2002,"female",0,145529,31432
"418","Bahamas",2002,"male",2.18936552187176,137026,31432
"419","Bahamas",2003,"female",0,148672,30704
"420","Bahamas",2003,"male",0.713185371141667,140216,30704
"421","Bahamas",2004,"female",0,151804,30671
"422","Bahamas",2004,"male",1.39437925721417,143433,30671
"423","Bahamas",2005,"female",0.644953240890035,155050,32596
"424","Bahamas",2005,"male",2.04480857183753,146713,32596
"425","Bahamas",2006,"female",0,158425,32957
"426","Bahamas",2006,"male",1.33267587989925,150074,32957
"427","Bahamas",2007,"female",0.61841771643074,161703,33710
"428","Bahamas",2007,"male",2.6095011938468,153286,33710
"429","Bahamas",2008,"female",0,164978,32746
"430","Bahamas",2008,"male",2.55641692603647,156469,32746
"431","Bahamas",2009,"female",0.594494976517448,168210,30450
"432","Bahamas",2009,"male",3.13277319348634,159603,30450
"433","Bahamas",2010,"female",2.33537094448239,171279,30239
"434","Bahamas",2010,"male",3.69026385386555,162590,30239
"435","Bahamas",2011,"female",0.576186223387399,173555,29761
"436","Bahamas",2011,"male",1.8200791127721,164828,29761
"437","Bahamas",2012,"female",0.567662535975613,176161,31204
"438","Bahamas",2012,"male",2.38952908355586,167397,31204
"439","Bahamas",2013,"female",0.559024613853748,178883,30455
"440","Bahamas",2013,"male",2.35188974340883,170076,30455
"441","Bahrain",1985,"female",0.694927032661571,143900,9980
"442","Bahrain",1985,"male",4.5045045045045,222000,9980
"443","Bahrain",1987,"female",1.36705399863295,146300,9321
"444","Bahrain",1987,"male",3.21691176470588,217600,9321
"445","Bahrain",1988,"female",0.631711939355654,158300,9501
"446","Bahrain",1988,"male",5.61797752808989,231400,9501
"447","Bahrain",1997,"female",0,222442,11985
"448","Bahrain",1997,"male",0,307312,11985
"449","Bahrain",1998,"female",0,230002,11325
"450","Bahrain",1998,"male",0,316006,11325
"451","Bahrain",1999,"female",1.25908640690315,238268,11703
"452","Bahrain",1999,"male",4.27488747885457,327494,11703
"453","Bahrain",2000,"female",0.40389516497098,247589,15345
"454","Bahrain",2000,"male",8.16314630982056,343005,15345
"455","Bahrain",2001,"female",1.15845770663989,258965,14383
"456","Bahrain",2001,"male",5.4776811879995,365118,14383
"457","Bahrain",2002,"female",2.58509581472988,270783,14572
"458","Bahrain",2002,"male",4.61269978755955,390227,14572
"459","Bahrain",2003,"female",1.76245615890305,283695,15756
"460","Bahrain",2003,"male",6.91764189514763,419218,15756
"461","Bahrain",2004,"female",2.34542792332461,298453,17497
"462","Bahrain",2004,"male",7.72446182570966,453106,17497
"463","Bahrain",2005,"female",2.1780662505523,321386,19485
"464","Bahrain",2005,"male",7.02593976962947,498154,19485
"465","Bahrain",2006,"female",3.19000542300922,344827,20826
"466","Bahrain",2006,"male",3.12663228597282,543716,20826
"467","Bahrain",2007,"female",1.61946816665407,370492,22524
"468","Bahrain",2007,"male",5.72122811209569,594278,22524
"469","Bahrain",2008,"female",2.0628977524729,387804,25106
"470","Bahrain",2008,"male",5.50049818797874,636306,25106
"471","Bahrain",2009,"female",1.48372722169605,404387,20988
"472","Bahrain",2009,"male",4.35707698228848,688535,20988
"473","Bahrain",2010,"female",0.951821190871083,420247,22572
"474","Bahrain",2010,"male",2.08648334360347,718913,22572
"475","Bahrain",2011,"female",1.4682131845544,408660,26078
"476","Bahrain",2011,"male",1.7271107452195,694802,26078
"477","Bahrain",2012,"female",0.224554091712382,445327,25587
"478","Bahrain",2012,"male",2.37953284482405,756451,25587
"479","Bahrain",2013,"female",0,453706,26793
"480","Bahrain",2013,"male",0.657215038131617,760786,26793
"481","Bahrain",2014,"female",0.217922371692756,458879,27503
"482","Bahrain",2014,"male",1.05948056316689,755087,27503
"483","Barbados",1985,"female",1.63934426229508,122000,6137
"484","Barbados",1985,"male",4.58715596330275,109000,6137
"485","Barbados",1986,"female",0.817661488143908,122300,6720
"486","Barbados",1986,"male",6.40439158279963,109300,6720
"487","Barbados",1987,"female",1.61812297734628,123600,7333
"488","Barbados",1987,"male",3.6330608537693,110100,7333
"489","Barbados",1988,"female",0.8058017727639,124100,7763
"490","Barbados",1988,"male",9.93676603432701,110700,7763
"491","Barbados",1989,"female",3.2520325203252,123000,8541
"492","Barbados",1989,"male",10.6194690265487,113000,8541
"493","Barbados",1990,"female",2.41935483870968,124000,8537
"494","Barbados",1990,"male",11.5044247787611,113000,8537
